icpsr_study_number,n_articles,max_detection_score,mean_detection_score,title,doi,snippet,cluster
2.0,1,44.0,44.0,"Candidate Name and Constituency Totals, 1788-1990",https://doi.org/10.3886/icpsr00002,"https://doi.org/10.3886/ICPSR00002.v6
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
Inter-university Consortium for Political and Social Research
Series:
United States Historical Election Returns Series
https://doi.org/10.3886/ICPSR00002.v6
Version V6
(
see more versions
)
V6
[2025-05-27]
V5
[1995-06-05] unpublished
Analyze Online (SDA)
Slide tabs to view more
At A Glance
Data & Documentation
Variables
Data-related Publications
Export Metadata
Staff
Project Description
Summary
View help for Summary
The United States Historical Election Returns Series consists of several datasets, the major files are the United States Historical Election Returns, 1788-1968 (ICPSR 00001) and General Election Data for the United States, 1950-1990  (ICPSR 00013).",0
16.0,2,35.0,35.0,"Partisan Division of American State Governments, 1834-1985",https://doi.org/10.3886/icpsr00016,"https://doi.org/10.3886/ICPSR00016.v1
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
W.",0
168.0,2,43.0,43.0,ICPSR Data Archiving Report: Data Releases,https://doi.org/10.3886/icpsr00168.v1,"https://doi.org/10.3886/ICPSR00168.v1
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
Inter-university Consortium for Political and Social Research (ICPSR)
https://doi.org/10.3886/ICPSR00168.v1
Version V1
Analyze Online (SDA)
Slide tabs to view more
At A Glance
Data & Documentation
Variables
Data-related Publications
Export Metadata
Staff
Project Description
Summary
View help for Summary
Founded in 1962, the Inter-university Consortium for
Political and Social Research (ICPSR) archives and facilitates online
public access to social science data.",0
1236.0,1,37.0,37.0,Retail Sweep Programs and Bank Reserves,https://doi.org/10.3886/icpsr01236.v1,"https://doi.org/10.3886/ICPSR01236.v1
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
Richard G.",0
2760.0,1,3.0,3.0,Long working hours and alcohol use: systematic review and meta-analysis of published studies and unpublished individual participant data,https://doi.org/10.1136/bmj.g7772,"These were retrieved from collections curated by the Inter-University Consortium for Political and Social Research (ICPSR;
www.icpsr.umich.edu/icpsrweb/ICPSR/
) and the UK Economic and Social Data Service (
http://ukdataservice.ac.uk/
).",0
3955.0,1,42.0,42.0,"National Education Longitudinal Study: Base Year Through Fourth Follow-Up, 1988-2000",https://doi.org/10.3886/icpsr03955,"https://doi.org/10.3886/ICPSR03955.v1
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
United States Department of Education.",0
4021.0,1,42.0,42.0,"Census of State and Federal Adult Correctional Facilities, 2000",https://doi.org/10.3886/icpsr04021,"https://doi.org/10.3886/ICPSR04021.v1
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
United States Department of Justice.",0
4165.0,1,37.0,37.0,"National Survey of Alcohol, Drug, and Mental Health Problems [Healthcare for Communities], 2000-2001",https://doi.org/10.3886/icpsr04165.v1,"https://doi.org/10.3886/ICPSR04165.v1
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
Kenneth B.",0
4291.0,1,38.0,38.0,"Harvard School of Public Health College Alcohol Study, 2001",https://doi.org/10.3886/icpsr04291,"https://doi.org/10.3886/ICPSR04291.v2
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
Henry Wechsler
, Harvard School of Public Health
Series:
Harvard School of Public Health College Alcohol Study Series
https://doi.org/10.3886/ICPSR04291.v2
Version V2
Analyze Online (SDA)
Slide tabs to view more
At A Glance
Data & Documentation
Variables
Data-related Publications
Export Metadata
Staff
Project Description
Summary
View help for Summary
The Harvard School of Public Health College Alcohol Study
(CAS), a multi-round survey that interviewed students in four-year
colleges, examined key issues in alcohol abuse and other high risk
behaviors among college students, including the relationship of state
alcohol control measures and college policies to alcohol use and the
role of fraternities and sororities, easy access to alcohol, and low
alcohol prices.",0
4470.0,2,42.0,42.0,"Survey of Program Dynamics (SPD) Third Longitudinal File: Data Years 1992, 1993, 1994, 1996, 1997, 1998, 1999, 2000, and 2001",https://doi.org/10.3886/icpsr04470.v1,"https://doi.org/10.3886/ICPSR04470.v1
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
United States.",0
