icpsr_study_number,n_articles,max_detection_score,mean_detection_score,title,doi,snippet
00002,2,64.0,56.5,"Candidate Name and Constituency Totals, 1788-1990",https://doi.org/10.3886/icpsr00002,"https://doi.org/10.3886/ICPSR00002.v6
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
Inter-university Consortium for Political and Social Research
Series:
United States Historical Election Returns Series
https://doi.org/10.3886/ICPSR00002.v6
Version V6
(
see more versions
)
V6
[2025-05-27]
V5
[1995-06-05] unpublished
Analyze Online (SDA)
Slide tabs to view more
At A Glance
Data & Documentation
Variables
Data-related Publications
Export Metadata
Staff
Project Description
Summary
View help for Summary
The United States Historical Election Returns Series consists of several datasets, the major files are the United States Historical Election Returns, 1788-1968 (ICPSR 00001) and General Election Data for the United States, 1950-1990  (ICPSR 00013)."
00004,2,50.0,50.0,"United States Congressional Roll Call Voting Records, 1789-1998",https://doi.org/10.3886/icpsr00004,"https://doi.org/10.3886/ICPSR00004.v3
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
Inter-university Consortium for Political and Social Research
;
Congressional Quarterly, Inc."
00016,2,43.0,43.0,"Partisan Division of American State Governments, 1834-1985",https://doi.org/10.3886/icpsr00016,"https://doi.org/10.3886/ICPSR00016.v1
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
W."
0004,1,4.0,4.0,"United States Congressional Roll Call Voting Records, 1789-1990: Reformatted Data",https://doi.org/10.7910/dvn/q8kapf,"This collection is derived from UNITED STATES CONGRESSIONAL ROLL CALL VOTING RECORDS, 1789-1990 (ICPSR 0004), and differs from that collection in several ways."
00043,1,9.0,9.0,Crosswalk linking administrative units from Imperial and Weimar Germany,https://doi.org/10.7910/dvn/9tbbsi,doi:10.3886/ICPSR00043.v1 (3) Gary King; Orin Rosen; Martin A.Tanner; Alexander F.
00168,2,55.0,55.0,ICPSR Data Archiving Report: Data Releases,https://doi.org/10.3886/icpsr00168.v1,"https://doi.org/10.3886/ICPSR00168.v1
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
Inter-university Consortium for Political and Social Research (ICPSR)
https://doi.org/10.3886/ICPSR00168.v1
Version V1
Analyze Online (SDA)
Slide tabs to view more
At A Glance
Data & Documentation
Variables
Data-related Publications
Export Metadata
Staff
Project Description
Summary
View help for Summary
Founded in 1962, the Inter-university Consortium for
Political and Social Research (ICPSR) archives and facilitates online
public access to social science data."
00171,1,9.0,9.0,Gender Inequities in Household Labor Predict Lower Sexual Desire in Women Partnered with Men,https://doi.org/10.1007/s10508-022-02397-2,"https://doi.org/10.3886/ICPSR00171.v3
Brewer, R."
0079,4,21.0,17.25,"Candidate and Constituency Statistics of Elections in the United States, 1788-1990",https://doi.org/10.7910/dvn/uuqdzc,"This collection consists of several discrete data collections: * United States Historical Election Returns, 1788-1823 (ICPSR 0079) contains general election returns for the offices of president, governor, and United States representative in the period 1788-1823."
01239,1,12.0,12.0,Multitasking and the Returns to Experience,https://doi.org/10.1057/9781137381446_9,“Dynamics of Economic and Demographic Behavior: ‘Clean Processes’ From the Panel Study of Income Dynamics (PSID).” ICPSR01239-v1.
02896,1,6.0,6.0,"In the Shadow of the Mushroom Cloud: Nuclear Testing, Radioactive Fallout, and Damage to U.S. Agriculture, 1945 to 1970",https://doi.org/10.1017/s002205071800075x,"Dataset ICPSR02896-v3, Inter-university Consortium for Political and Social Research, Ann Arbor, MI,
2010
."
